Subdomain,IP,Cloudflare
g37-bindcode-test.nie.netease.com,45.253.144.38,false
g37-bindcode.nie.netease.com,10.217.0.233,false
g37gb-active.nie.netease.com,34.160.131.172,false
g37jp-active.nie.netease.com,35.221.71.239,false
g37na-14.gdl.netease.com,104.18.48.17,true
g37na-14.gph.netease.com,104.16.76.33,true
g37na-active.nie.netease.com,34.128.185.109,false
g48-test-mac.nie.netease.com,10.224.150.50,false
g48ena.voice.nie.netease.com,148.153.46.183,false
g48fb.testing.netease.com,42.186.125.102,false
g48hmt.voice.nie.netease.com,211.20.180.89,false
g48kr.voice.nie.netease.com,1.234.51.39,false
g51vn.voice.nie.netease.com,61.28.244.141,false
g55httpstest.x.netease.com,42.186.125.132,false
g66-14.gph.netease.com,104.16.75.33,true
g67.appdump.nie.netease.com,45.253.145.166,false
g67ena-14.gph.netease.com,104.16.75.33,true
g67ena.gph.netease.com,175.6.5.168,false
g68-coverage-office.nie.netease.com,7.25.72.37,false
g68-production-gate-tls.ngsocial.nie.netease.com,42.186.194.254,false
g68-production-gate.ngsocial.nie.netease.com,106.2.94.227,false
g68-production-gmgate.ngsocial.nie.netease.com,42.186.192.38,false
g78-moba.nie.netease.com,10.149.21.22,false
g78-wiki-data.netease.com,59.111.46.68,false
g78.httpv2-test.nie.netease.com,192.168.42.66,false
g78.httpv2-test2.nie.netease.com,42.186.36.66,false
g78.httpv2.nie.netease.com,42.186.194.66,false
g78.mlai.nie.netease.com,10.217.8.111,false
g78.mlai.staging.nie.netease.com,10.217.8.98,false
g78app.nie.netease.com,47.246.49.235,false
g79adrturnserver.nie.netease.com,112.13.113.137,false
g79authios.nie.netease.com,35.83.172.8,false
g79iostransfer.nie.netease.com,54.187.166.26,false
g79mclios.nie.netease.com,44.240.168.199,false
g83-14.gph.netease.com,104.16.75.33,true
g83-game-center-test.game.netease.com,10.149.24.231,false
g83-messiah-web-intest.nie.netease.com,10.215.33.138,false
g83-tesla.nie.netease.com,10.215.33.138,false
